[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.063470s ]
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.063616s ]
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_template ] --START--
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.002721s ]
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.002830s ]
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.092403s ]
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.092511s ]
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.001645s ]
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.005203s ]
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001354s ]
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001935s ]
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010450s ]
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001690s ]
[ 2012-12-18T09:51:47+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001779s ]
